#CH3 + CH3 (+M) -> C2H6
#Kooij model with:
#	A0    = 1.135e36 (mol/cm3)^-2/s
#	beta0 = -5.245
#	Ea0   = 1704.8 cal/mol
#	Ainf    = 6.22e16 (mol/cm3)^-1/s
#	betainf = -1.174
#	Eainf   = 653.8 cal/mol
# Troe falloff parameterized by:
#	alpha = 0.405
#	T*    = 69.6 K
#	T***  = 1120 K
# results for T = 1000 K,
# and for 1e-9 < M < 1e-3 mol/cm-3
M low_limit high_limit Lindemann Troe
1e-09 8.85971e+10 1.34557e+13 8.80176e+10 4.42153e+10
1.25893e-09 1.11537e+11 1.34557e+13 1.1062e+11 5.22925e+10
1.58489e-09 1.40417e+11 1.34557e+13 1.38967e+11 6.15975e+10
1.99526e-09 1.76774e+11 1.34557e+13 1.74482e+11 7.23008e+10
2.51189e-09 2.22546e+11 1.34557e+13 2.18925e+11 8.46226e+10
3.16228e-09 2.80169e+11 1.34557e+13 2.74454e+11 9.8861e+10
3.98107e-09 3.52711e+11 1.34557e+13 3.43702e+11 1.15428e+11
5.01187e-09 4.44037e+11 1.34557e+13 4.29852e+11 1.34897e+11
6.30957e-09 5.5901e+11 1.34557e+13 5.36712e+11 1.58064e+11
7.94328e-09 7.03752e+11 1.34557e+13 6.68774e+11 1.86013e+11
1e-08 8.85971e+11 1.34557e+13 8.31239e+11 2.20195e+11
1.25893e-08 1.11537e+12 1.34557e+13 1.02999e+12 2.62511e+11
1.58489e-08 1.40417e+12 1.34557e+13 1.27148e+12 3.15389e+11
1.99526e-08 1.76774e+12 1.34557e+13 1.56247e+12 3.81847e+11
2.51189e-08 2.22546e+12 1.34557e+13 1.90962e+12 4.65508e+11
3.16228e-08 2.80169e+12 1.34557e+13 2.31886e+12 5.70545e+11
3.98107e-08 3.52711e+12 1.34557e+13 2.79458e+12 7.0151e+11
5.01187e-08 4.44037e+12 1.34557e+13 3.33863e+12 8.63023e+11
6.30957e-08 5.5901e+12 1.34557e+13 3.94936e+12 1.05929e+12
7.94328e-08 7.03752e+12 1.34557e+13 4.62078e+12 1.29354e+12
1e-07 8.85971e+12 1.34557e+13 5.34221e+12 1.56734e+12
1.25893e-07 1.11537e+13 1.34557e+13 6.09852e+12 1.88013e+12
1.58489e-07 1.40417e+13 1.34557e+13 6.87122e+12 2.2289e+12
1.99526e-07 1.76774e+13 1.34557e+13 7.64016e+12 2.60826e+12
2.51189e-07 2.22546e+13 1.34557e+13 8.38556e+12 3.01096e+12
3.16228e-07 2.80169e+13 1.34557e+13 9.09001e+12 3.42859e+12
3.98107e-07 3.52711e+13 1.34557e+13 9.73995e+12 3.85249e+12
5.01187e-07 4.44037e+13 1.34557e+13 1.03264e+13 4.27454e+12
6.30957e-07 5.5901e+13 1.34557e+13 1.08452e+13 4.68781e+12
7.94328e-07 7.03752e+13 1.34557e+13 1.12959e+13 5.08684e+12
1e-06 8.85971e+13 1.34557e+13 1.16815e+13 5.46779e+12
1.25893e-06 1.11537e+14 1.34557e+13 1.20071e+13 5.82826e+12
1.58489e-06 1.40417e+14 1.34557e+13 1.2279e+13 6.16711e+12
1.99526e-06 1.76774e+14 1.34557e+13 1.25039e+13 6.48416e+12
2.51189e-06 2.22546e+14 1.34557e+13 1.26885e+13 6.77992e+12
3.16228e-06 2.80169e+14 1.34557e+13 1.2839e+13 7.05536e+12
3.98107e-06 3.52711e+14 1.34557e+13 1.29612e+13 7.31172e+12
5.01187e-06 4.44037e+14 1.34557e+13 1.30599e+13 7.55039e+12
6.30957e-06 5.5901e+14 1.34557e+13 1.31394e+13 7.77278e+12
7.94328e-06 7.03752e+14 1.34557e+13 1.32032e+13 7.98024e+12
1e-05 8.85971e+14 1.34557e+13 1.32544e+13 8.1741e+12
1.25893e-05 1.11537e+15 1.34557e+13 1.32953e+13 8.35554e+12
1.58489e-05 1.40417e+15 1.34557e+13 1.3328e+13 8.52567e+12
1.99526e-05 1.76774e+15 1.34557e+13 1.3354e+13 8.68549e+12
2.51189e-05 2.22546e+15 1.34557e+13 1.33748e+13 8.83588e+12
3.16228e-05 2.80169e+15 1.34557e+13 1.33914e+13 8.97766e+12
3.98107e-05 3.52711e+15 1.34557e+13 1.34045e+13 9.11153e+12
5.01187e-05 4.44037e+15 1.34557e+13 1.3415e+13 9.23813e+12
6.30957e-05 5.5901e+15 1.34557e+13 1.34234e+13 9.35803e+12
7.94328e-05 7.03752e+15 1.34557e+13 1.343e+13 9.47174e+12
0.0001 8.85971e+15 1.34557e+13 1.34353e+13 9.57972e+12
0.000125893 1.11537e+16 1.34557e+13 1.34395e+13 9.68239e+12
0.000158489 1.40417e+16 1.34557e+13 1.34428e+13 9.7801e+12
0.000199526 1.76774e+16 1.34557e+13 1.34454e+13 9.8732e+12
0.000251189 2.22546e+16 1.34557e+13 1.34475e+13 9.96198e+12
0.000316228 2.80169e+16 1.34557e+13 1.34492e+13 1.00467e+13
0.000398107 3.52711e+16 1.34557e+13 1.34505e+13 1.01277e+13
0.000501187 4.44037e+16 1.34557e+13 1.34516e+13 1.02051e+13
0.000630957 5.5901e+16 1.34557e+13 1.34524e+13 1.02792e+13
0.000794328 7.03752e+16 1.34557e+13 1.34531e+13 1.03502e+13
0.001 8.85971e+16 1.34557e+13 1.34536e+13 1.04181e+13
